mmsi,ship_name,predicted_timestamp,predicted_lat,predicted_lon,actual_lat,actual_lon,implied_speed_kmh,gap01_hours,gap12_hours,deviation_km,tier,near_hotspot,hotspot_distance_km,window,vessel_type,port_distance_km,near_port,tier_sampled
422040600,KIAZAND,2026-03-23 15:00:00+00:00,26.67988215983286,56.86963649185001,26.72,56.7599983215332,15.664538800115452,1.0,2.0,11.769453211597924,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,42.79571437656101,False,notable
352003534,SULTAN DARYA1,2026-03-23 14:00:00+00:00,27.0399998524587,55.83008011679184,26.95,55.7400016784668,14.073914540751156,1.0,1.0,13.40917129048673,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,52.72728570771203,False,notable
212851000,DUBAI VENTURE,2026-03-23 06:00:00+00:00,26.06999938100352,55.84026160605849,25.87,55.7599983215332,29.695304005036167,1.0,1.0,23.642125062645576,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,61.359664924017096,False,notable
419001387,JAG VASANT,2026-03-23 01:00:00+00:00,26.010000000152363,55.49999703726807,26.03,55.619998931884766,1.495080527105514,1.0,1.0,12.195604870602727,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,65.73358838771755,False,notable
352001905,FATIMA 2,2026-03-23 02:00:00+00:00,25.992680983562003,55.387498079596405,26.0,55.5099983215332,13.246813550763942,4.0,1.0,12.270255033486414,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,77.22066982409736,False,notable
669613000,PING SHUN,2026-03-19 23:00:00+00:00,25.680000000000007,56.9900016784668,25.77,56.97999954223633,1.1119508023356135,1.0,1.0,10.057590100939642,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,78.81682837258658,False,notable
470731000,FLOUNDER BAY,2026-03-22 13:00:00+00:00,25.560000002436382,55.65999269345198,25.62,55.68000030517578,4.162972462616928,1.0,1.0,6.966904244216567,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,74.70712161131796,False,notable
419956221,MSV SAFINA AL ZAHRA,2026-03-19 06:00:00+00:00,26.290000029841934,56.18002446418173,26.21,56.09000015258789,8.27237359390408,1.0,1.0,12.638634047825278,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,15.923797659595959,True,notable
419001655,PINE GAS,2026-03-23 16:00:00+00:00,25.57000007119705,57.15993074332979,25.51,57.2599983215332,15.654256817261572,1.0,1.0,12.054381309125551,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,90.71780732801345,False,notable
629009364,YOUNES,2026-03-20 17:00:00+00:00,26.13999372782281,57.029808964502905,25.98,57.060001373291016,21.33993064730392,1.0,2.0,18.04434173796324,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,84.66881168778788,False,notable
419956078,MSV ASHMA MNV2063,2026-03-19 18:00:00+00:00,26.469999939057235,56.34996755180465,26.36,56.2599983215332,10.906961792089078,1.0,1.0,15.161920416934878,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,17.45270839156935,True,notable
419001655,PINE GAS,2026-03-21 21:00:00+00:00,25.92,55.65999984741211,25.98,55.63999938964844,8.895606418682432,1.0,1.0,6.964951235264972,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,65.73209676037952,False,notable
422541000,LC  SAHEL KHAMIR,2026-03-20 18:00:00+00:00,26.829989458836423,55.68007547604499,26.97,55.7599983215332,1.2173437161032634,2.0,12.0,17.46968934997208,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,50.75035876939859,False,notable
650000181,AURA,2026-03-21 13:00:00+00:00,26.12000005108564,56.98992952249101,26.07,57.0099983215332,23.68819478775386,1.0,1.0,5.909929494163961,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,77.35652172000165,False,notable
244811000,COASTAL VICTORY,2026-03-23 06:00:00+00:00,25.94000000761391,55.78001108683571,25.96,55.84999847412109,5.4706919522034605,1.0,1.0,7.342504992988313,notable,,,"CRISIS (Mar 19-24, 2026)",OTHER_NON_FISHING,48.203022199524405,False,notable
470891047,STEVIN ORION,2026-03-23 04:00:00+00:00,25.999999923815608,55.760040845477775,26.02,55.84000015258789,11.44194876126734,1.0,1.0,8.294274812710729,notable,,,"CRISIS (Mar 19-24, 2026)",CARGO,45.68173133152293,False,notable
