sar_id,sar_timestamp,sar_lat,sar_lon,gfw_mmsi,gfw_ship_name,relinked_mmsi,relinked_name,relinked_dist_km,assignment_cost,bracket_status,link_status,change_vs_gfw,n_candidates_in_radius
0,2025-12-04 00:56:43+00:00,12.34,74.62000274658203,,,,,,5.0,,dark_vessel,dark_unchanged,117.0
1,2025-12-04 00:56:43+00:00,13.61,74.41000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,98.0
2,2025-12-23 00:48:36+00:00,12.62,74.37999725341797,419957166.0,GANESH KRIPA,419957166.0,GANESH KRIPA,,,locked,gfw_locked,gfw_confirmed,
3,2025-12-04 00:56:43+00:00,13.31,74.47000122070312,,,,,,5.0,,dark_vessel,dark_unchanged,114.0
4,2025-12-04 00:56:43+00:00,13.44,74.44000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,109.0
5,2025-12-04 00:56:43+00:00,13.05,74.38999938964844,,,,,,5.0,,dark_vessel,dark_unchanged,137.0
6,2025-12-04 00:56:43+00:00,12.23,75.01000213623047,,,,,,5.0,,dark_vessel,dark_unchanged,103.0
7,2025-12-04 00:56:43+00:00,13.45,74.5,,,419951388.0,AL RAMEEZ 7,1.269,1.269,consistent,relinked,newly_linked,109.0
8,2025-12-04 00:56:43+00:00,13.02,74.54000091552734,,,,,,5.0,,dark_vessel,dark_unchanged,136.0
9,2025-12-04 00:56:43+00:00,13.48,74.45999908447266,,,,,,5.0,,dark_vessel,dark_unchanged,109.0
10,2025-12-04 00:56:43+00:00,13.47,74.61000061035156,,,,,,5.0,,dark_vessel,dark_unchanged,106.0
11,2025-12-04 00:56:43+00:00,13.74,74.41999816894531,,,,,,5.0,,dark_vessel,dark_unchanged,78.0
12,2025-12-04 00:56:43+00:00,12.42,74.55999755859375,,,,,,5.0,,dark_vessel,dark_unchanged,121.0
13,2025-12-04 00:56:43+00:00,12.89,74.25,,,,,,5.0,,dark_vessel,dark_unchanged,142.0
14,2025-12-04 00:56:43+00:00,12.27,74.73999786376953,,,538006175.0,SINICA GRAECA,3.572,3.572,consistent,relinked,newly_linked,113.0
15,2025-12-04 00:56:43+00:00,12.94,74.7699966430664,,,538003747.0,GLEAMSTAR,4.475,4.475,consistent,relinked,newly_linked,144.0
16,2025-12-04 00:56:43+00:00,12.06,75.08999633789062,,,,,,5.0,,dark_vessel,dark_unchanged,63.0
17,2025-12-04 00:56:43+00:00,13.79,74.45999908447266,,,,,,5.0,,dark_vessel,dark_unchanged,56.0
18,2025-12-04 00:56:43+00:00,12.41,74.3499984741211,,,,,,5.0,,dark_vessel,dark_unchanged,119.0
19,2025-12-04 00:56:43+00:00,13.44,74.5999984741211,,,,,,5.0,,dark_vessel,dark_unchanged,108.0
20,2025-12-04 00:56:43+00:00,12.32,74.48999786376953,,,,,,5.0,,dark_vessel,dark_unchanged,117.0
21,2025-12-04 00:56:43+00:00,12.5,74.37000274658203,,,,,,5.0,,dark_vessel,dark_unchanged,133.0
22,2025-12-04 00:56:43+00:00,12.83,74.80999755859375,,,,,,5.0,,dark_vessel,dark_unchanged,145.0
23,2025-12-04 00:56:43+00:00,13.04,74.7300033569336,,,,,,5.0,,dark_vessel,dark_unchanged,131.0
24,2025-12-11 00:48:37+00:00,12.96,74.5999984741211,636018158.0,BRAVEHEART I,636018158.0,BRAVEHEART I,,,locked,gfw_locked,gfw_confirmed,
25,2025-12-04 00:56:43+00:00,13.49,74.58999633789062,,,,,,5.0,,dark_vessel,dark_unchanged,106.0
26,2025-12-04 00:56:43+00:00,13.55,74.5,,,,,,5.0,,dark_vessel,dark_unchanged,103.0
27,2025-12-04 00:56:43+00:00,12.41,74.43000030517578,,,,,,5.0,,dark_vessel,dark_unchanged,119.0
28,2025-12-04 00:56:43+00:00,13.18,74.54000091552734,,,,,,5.0,,dark_vessel,dark_unchanged,122.0
29,2025-12-04 00:56:43+00:00,12.42,74.38999938964844,,,,,,5.0,,dark_vessel,dark_unchanged,119.0
30,2025-12-04 00:56:43+00:00,12.25,74.9800033569336,,,,,,5.0,,dark_vessel,dark_unchanged,106.0
31,2025-12-23 00:48:36+00:00,13.19,74.62999725341797,419951274.0,KAAFOOR,419951274.0,KAAFOOR,,,locked,gfw_locked,gfw_confirmed,
