sar_id,sar_timestamp,sar_lat,sar_lon,gfw_mmsi,gfw_ship_name,relinked_mmsi,relinked_name,relinked_dist_km,assignment_cost,bracket_status,link_status,change_vs_gfw,n_candidates_in_radius
0,2025-09-06 00:48:40+00:00,12.85,74.70999908447266,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
1,2025-09-06 00:48:40+00:00,13.14,74.55000305175781,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
2,2025-09-11 00:56:45+00:00,12.96,74.26000213623047,419957089.0,SOLAR,,,,5.0,,dark_vessel,gfw_rejected_to_dark,152.0
3,2025-09-06 00:48:40+00:00,12.62,74.75,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
4,2025-09-06 00:48:40+00:00,13.6,74.45999908447266,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
5,2025-09-18 00:49:05+00:00,12.16,74.43000030517578,419957187.0,SHAMBHAVI PRASAD,419957187.0,SHAMBHAVI PRASAD,,,locked,gfw_locked,gfw_confirmed,
6,2025-09-06 00:48:40+00:00,13.57,74.25,,,,,,5.0,,dark_vessel,dark_unchanged,34.0
7,2025-09-06 00:48:40+00:00,12.86,74.5999984741211,,,,,,5.0,,dark_vessel,dark_unchanged,47.0
8,2025-09-06 00:48:40+00:00,12.0,74.48999786376953,,,,,,5.0,,dark_vessel,dark_unchanged,13.0
9,2025-09-06 00:48:40+00:00,12.4,74.77999877929688,,,,,,5.0,,dark_vessel,dark_unchanged,41.0
10,2025-09-06 00:48:40+00:00,12.18,74.38999938964844,,,,,,5.0,,dark_vessel,dark_unchanged,40.0
11,2025-09-06 00:48:40+00:00,12.2,74.38999938964844,,,,,,5.0,,dark_vessel,dark_unchanged,41.0
12,2025-09-06 00:48:40+00:00,13.66,74.44999694824219,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
13,2025-09-18 00:49:05+00:00,12.2,74.41999816894531,419950686.0,MUBDI II,419950686.0,MUBDI II,,,locked,gfw_locked,gfw_confirmed,
14,2025-09-06 00:48:40+00:00,13.69,74.44999694824219,,,,,,5.0,,dark_vessel,dark_unchanged,32.0
15,2025-09-30 00:48:40+00:00,12.97,74.63999938964844,621819112.0,CHONGCHON,621819112.0,CHONGCHON,,,locked,gfw_locked,gfw_confirmed,
16,2025-09-06 00:48:40+00:00,13.29,74.45999908447266,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
17,2025-09-06 00:48:40+00:00,12.28,74.81999969482422,,,,,,5.0,,dark_vessel,dark_unchanged,40.0
18,2025-09-18 00:48:40+00:00,12.66,74.63999938964844,419950545.0,DARUL NAEEM,419950545.0,DARUL NAEEM,,,locked,gfw_locked,gfw_confirmed,
19,2025-09-06 00:48:40+00:00,12.36,74.44999694824219,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
20,2025-09-06 00:48:40+00:00,12.02,74.91000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,17.0
21,2025-09-06 00:48:40+00:00,12.3,74.69000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,40.0
22,2025-09-06 00:48:40+00:00,13.32,74.56999969482422,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
23,2025-09-18 00:48:40+00:00,12.95,74.66000366210938,419000862.0,DAWN MADURAI,419000862.0,DAWN MADURAI,,,locked,gfw_locked,gfw_confirmed,
24,2025-09-06 00:48:40+00:00,13.3,74.36000061035156,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
25,2025-09-06 00:48:40+00:00,13.15,74.58999633789062,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
26,2025-09-06 00:48:40+00:00,12.86,74.68000030517578,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
27,2025-09-06 00:48:40+00:00,13.3,74.61000061035156,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
28,2025-09-06 00:48:40+00:00,13.23,74.4800033569336,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
29,2025-09-06 00:48:40+00:00,13.29,74.5999984741211,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
30,2025-09-06 00:48:40+00:00,12.96,74.48999786376953,,,,,,5.0,,dark_vessel,dark_unchanged,48.0
31,2025-09-30 00:48:40+00:00,12.98,74.5999984741211,419002026.0,GREEN SHAKTI,419002026.0,GREEN SHAKTI,,,locked,gfw_locked,gfw_confirmed,
32,2025-09-06 00:48:40+00:00,13.28,74.55000305175781,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
33,2025-09-06 00:48:40+00:00,12.23,74.41999816894531,,,,,,5.0,,dark_vessel,dark_unchanged,41.0
34,2025-09-06 00:48:40+00:00,13.32,74.5199966430664,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
35,2025-09-06 00:48:40+00:00,13.29,74.55999755859375,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
36,2025-09-06 00:48:40+00:00,13.15,74.62000274658203,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
37,2025-09-06 00:48:40+00:00,13.32,74.62999725341797,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
38,2025-09-06 00:48:40+00:00,12.43,74.68000030517578,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
39,2025-09-06 00:48:40+00:00,12.86,74.69999694824219,419826316.0,SH,,,,5.0,,dark_vessel,gfw_rejected_to_dark,45.0
40,2025-09-06 00:48:40+00:00,12.95,74.58000183105469,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
41,2025-09-06 00:48:40+00:00,12.18,74.66000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,40.0
42,2025-09-06 00:48:40+00:00,13.54,74.5,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
43,2025-09-06 00:48:40+00:00,13.09,74.55999755859375,,,,,,5.0,,dark_vessel,dark_unchanged,47.0
44,2025-09-06 00:48:40+00:00,13.63,74.44000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
45,2025-09-06 00:48:40+00:00,13.49,74.4000015258789,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
46,2025-09-06 00:48:40+00:00,12.25,74.51000213623047,,,,,,5.0,,dark_vessel,dark_unchanged,41.0
47,2025-09-06 00:48:40+00:00,12.41,74.69000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
48,2025-09-18 00:48:40+00:00,12.86,74.52999877929688,419950529.0,MAZDOOR,419950529.0,MAZDOOR,,,locked,gfw_locked,gfw_confirmed,
49,2025-09-18 00:49:05+00:00,12.34,74.36000061035156,419950584.0,BAHRUNNOOR,419825727.0,KAMALSHAH.113,0.462,0.462,consistent,relinked,gfw_corrected,167.0
50,2025-09-06 00:48:40+00:00,12.44,74.69000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
51,2025-09-06 00:48:40+00:00,12.23,74.4000015258789,,,,,,5.0,,dark_vessel,dark_unchanged,41.0
52,2025-09-06 00:48:40+00:00,12.74,74.7699966430664,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
53,2025-09-06 00:48:40+00:00,12.86,74.62000274658203,,,,,,5.0,,dark_vessel,dark_unchanged,47.0
54,2025-09-06 00:48:40+00:00,13.51,74.38999938964844,,,,,,5.0,,dark_vessel,dark_unchanged,43.0
55,2025-09-06 00:48:40+00:00,12.29,74.72000122070312,,,,,,5.0,,dark_vessel,dark_unchanged,40.0
56,2025-09-06 00:48:40+00:00,13.22,74.5999984741211,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
57,2025-09-06 00:48:40+00:00,12.5,74.66000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
58,2025-09-06 00:48:40+00:00,13.68,74.47000122070312,,,,,,5.0,,dark_vessel,dark_unchanged,37.0
59,2025-09-06 00:48:40+00:00,12.4,74.33999633789062,,,,,,5.0,,dark_vessel,dark_unchanged,43.0
60,2025-09-18 00:49:05+00:00,12.19,74.43000030517578,419951474.0,AHAD,419951474.0,AHAD,,,locked,gfw_locked,gfw_confirmed,
61,2025-09-06 00:48:40+00:00,13.36,74.55999755859375,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
62,2025-09-06 00:48:40+00:00,12.92,74.6500015258789,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
63,2025-09-30 00:49:05+00:00,12.35,74.2300033569336,563367000.0,SOUTHERN CETACEA,563367000.0,SOUTHERN CETACEA,,,locked,gfw_locked,gfw_confirmed,
64,2025-09-06 00:48:40+00:00,12.95,74.54000091552734,,,,,,5.0,,dark_vessel,dark_unchanged,47.0
65,2025-09-18 00:49:05+00:00,12.17,74.41000366210938,419950673.0,1-RAFAY RAAID,419950673.0,1-RAFAY RAAID,,,locked,gfw_locked,gfw_confirmed,
66,2025-09-18 00:49:05+00:00,12.33,74.61000061035156,419952287.0,SEA DIAMOND,419952287.0,SEA DIAMOND,,,locked,gfw_locked,gfw_confirmed,
67,2025-09-06 00:48:40+00:00,12.95,74.55000305175781,,,,,,5.0,,dark_vessel,dark_unchanged,45.0
68,2025-09-06 00:48:40+00:00,12.64,74.66000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
69,2025-09-06 00:48:40+00:00,13.34,74.6500015258789,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
70,2025-09-06 00:48:40+00:00,12.36,74.66000366210938,,,,,,5.0,,dark_vessel,dark_unchanged,42.0
71,2025-09-18 00:49:05+00:00,12.34,74.31999969482422,419950552.0,RAVI  KIRAN  2,419950552.0,RAVI  KIRAN  2,,,locked,gfw_locked,gfw_confirmed,
72,2025-09-06 00:48:40+00:00,12.5,74.55000305175781,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
73,2025-09-06 00:48:40+00:00,13.03,74.56999969482422,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
74,2025-09-06 00:48:40+00:00,13.01,74.45999908447266,636024677.0,MUGELLO,636024677.0,MUGELLO,,,locked,gfw_locked,gfw_confirmed,
75,2025-09-06 00:48:40+00:00,13.32,74.61000061035156,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
76,2025-09-06 00:48:40+00:00,12.68,74.58999633789062,538003857.0,ALIGOTE,538003857.0,ALIGOTE,,,locked,gfw_locked,gfw_confirmed,
77,2025-09-23 00:56:45+00:00,13.35,74.51000213623047,419107706.0,DHEVAMAHATHVAM BOAT,419107706.0,DHEVAMAHATHVAM BOAT,,,locked,gfw_locked,gfw_confirmed,
78,2025-09-06 00:48:40+00:00,13.37,74.31999969482422,,,419522674.0,MINNALANNAI-1_96%,2.123,2.123,consistent,relinked,newly_linked,44.0
79,2025-09-06 00:48:40+00:00,13.38,74.62000274658203,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
80,2025-09-06 00:48:40+00:00,12.62,74.5999984741211,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
81,2025-09-06 00:48:40+00:00,12.61,74.61000061035156,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
82,2025-09-06 00:48:40+00:00,13.02,74.52999877929688,,,,,,5.0,,dark_vessel,dark_unchanged,46.0
83,2025-09-06 00:48:40+00:00,12.04,74.44000244140625,,,,,,5.0,,dark_vessel,dark_unchanged,20.0
84,2025-09-06 00:48:40+00:00,13.47,74.47000122070312,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
85,2025-09-06 00:48:40+00:00,13.38,74.58999633789062,,,,,,5.0,,dark_vessel,dark_unchanged,44.0
86,2025-09-30 00:48:40+00:00,12.97,74.5999984741211,419001655.0,PINE GAS,419001655.0,PINE GAS,,,locked,gfw_locked,gfw_confirmed,
