sar_id,sar_timestamp,sar_lat,sar_lon,gfw_mmsi,gfw_ship_name,relinked_mmsi,relinked_name,relinked_dist_km,assignment_cost,bracket_status,link_status,change_vs_gfw,n_candidates_in_radius
0,2026-05-12 01:18:45+00:00,22.65,69.91999816894531,613426604.0,SEGINUS,613426604.0,SEGINUS,,,locked,gfw_locked,gfw_confirmed,
1,2026-05-24 01:18:45+00:00,22.56,69.62000274658203,419796000.0,DESH SAMMAN,419796000.0,DESH SAMMAN,,,locked,gfw_locked,gfw_confirmed,
2,2026-05-24 01:18:45+00:00,22.69,69.73999786376953,477615500.0,VT QUEEN,477615500.0,VT QUEEN,,,locked,gfw_locked,gfw_confirmed,
3,2026-05-24 01:18:45+00:00,22.68,69.76000213623047,477134100.0,ASL SHEKOU,477134100.0,ASL SHEKOU,,,locked,gfw_locked,gfw_confirmed,
4,2026-05-24 01:18:45+00:00,22.65,69.72000122070312,563485000.0,WAN HAI 311,563485000.0,WAN HAI 311,,,locked,gfw_locked,gfw_confirmed,
5,2026-05-12 01:18:45+00:00,22.64,69.70999908447266,247486600.0,JOLLY ORO,247486600.0,JOLLY ORO,,,locked,gfw_locked,gfw_confirmed,
6,2026-05-12 01:18:45+00:00,22.68,69.7300033569336,538010808.0,YOKOHAMA STAR,538010808.0,YOKOHAMA STAR,,,locked,gfw_locked,gfw_confirmed,
7,2026-05-24 01:18:45+00:00,22.5,69.7699966430664,419001358.0,PRABHAT SHOBHA,419001358.0,PRABHAT SHOBHA,,,locked,gfw_locked,gfw_confirmed,
8,2026-05-24 01:18:45+00:00,22.68,69.75,565133000.0,KOTA KAMIL,311001828.0,BAMSI BEYREK,2.224,2.224,consistent,relinked,gfw_corrected,84.0
9,2026-05-24 01:18:45+00:00,22.65,69.70999908447266,212175000.0,EUROPE,212175000.0,EUROPE,,,locked,gfw_locked,gfw_confirmed,
10,2026-05-12 01:18:45+00:00,22.61,69.83999633789062,419077800.0,REL DARSHAN,419077800.0,REL DARSHAN,,,locked,gfw_locked,gfw_confirmed,
11,2026-05-12 01:18:45+00:00,22.55,69.63999938964844,,,419002118.0,AVYAAN,0.0,0.0,consistent,relinked,newly_linked,80.0
12,2026-05-24 01:18:45+00:00,22.69,69.94000244140625,311049400.0,AFRICAN BLUE CRANE,311049400.0,AFRICAN BLUE CRANE,,,locked,gfw_locked,gfw_confirmed,
13,2026-05-12 01:18:45+00:00,22.62,69.63999938964844,,,565302000.0,HOIHOW,3.733,3.733,consistent,relinked,newly_linked,80.0
14,2026-05-12 01:18:45+00:00,22.49,69.8499984741211,419057400.0,RELTUG TWELVE,419057400.0,RELTUG TWELVE,,,locked,gfw_locked,gfw_confirmed,
15,2026-05-24 01:18:45+00:00,22.63,69.70999908447266,563239800.0,VARANYA BHUM,563239800.0,VARANYA BHUM,,,locked,gfw_locked,gfw_confirmed,
16,2026-05-12 01:18:45+00:00,22.57,69.69000244140625,636014252.0,MOUNT FUJI,636014252.0,MOUNT FUJI,,,locked,gfw_locked,gfw_confirmed,
17,2026-05-12 01:18:45+00:00,22.56,69.7699966430664,419002059.0,COMPASS,419002059.0,COMPASS,,,locked,gfw_locked,gfw_confirmed,
18,2026-05-12 01:18:45+00:00,22.58,69.83999633789062,419077800.0,REL DARSHAN,419077800.0,REL DARSHAN,,,locked,gfw_locked,gfw_confirmed,
19,2026-05-12 01:18:45+00:00,22.65,69.97000122070312,419000103.0,SWARNA MALA,419000103.0,SWARNA MALA,,,locked,gfw_locked,gfw_confirmed,
20,2026-05-24 01:18:45+00:00,22.54,69.7699966430664,636013375.0,ATHINA,636013375.0,ATHINA,,,locked,gfw_locked,gfw_confirmed,
21,2026-05-12 01:18:45+00:00,22.57,69.62999725341797,577535000.0,BLAGE,636014506.0,ARCTIC,2.335,2.335,consistent,relinked,gfw_corrected,80.0
22,2026-05-12 01:18:45+00:00,22.38,69.62000274658203,,,419001517.0,SHARAN,1.515,1.515,consistent,relinked,newly_linked,80.0
23,2026-05-24 01:18:45+00:00,22.69,69.94999694824219,636023275.0,LOURA,636023275.0,LOURA,,,locked,gfw_locked,gfw_confirmed,
24,2026-05-12 01:18:45+00:00,22.58,70.05999755859375,,,419018700.0,GULMOHAR 3,1.087,1.087,consistent,relinked,newly_linked,80.0
25,2026-05-12 01:18:45+00:00,22.65,69.95999908447266,314092000.0,NAVARA,314092000.0,NAVARA,,,locked,gfw_locked,gfw_confirmed,
26,2026-05-24 01:18:45+00:00,22.67,69.7699966430664,341540000.0,MARSA VICTORY,341540000.0,MARSA VICTORY,,,locked,gfw_locked,gfw_confirmed,
27,2026-05-12 01:18:45+00:00,22.65,70.0,419084700.0,SEA CHEETAH,419084700.0,SEA CHEETAH,,,locked,gfw_locked,gfw_confirmed,
28,2026-05-24 01:18:45+00:00,22.57,69.83000183105469,419072600.0,REL TUG FIFTEEN,419072600.0,REL TUG FIFTEEN,,,locked,gfw_locked,gfw_confirmed,
29,2026-05-24 01:18:45+00:00,22.5,69.7699966430664,419001910.0,DECCAN GEMMA,419001910.0,DECCAN GEMMA,,,locked,gfw_locked,gfw_confirmed,
30,2026-05-24 01:18:45+00:00,22.66,70.04000091552734,563238800.0,JAL KALASH,563238800.0,JAL KALASH,,,locked,gfw_locked,gfw_confirmed,
31,2026-05-24 01:18:45+00:00,22.69,69.79000091552734,636025016.0,PAPU,636025016.0,PAPU,,,locked,gfw_locked,gfw_confirmed,
32,2026-05-24 01:18:45+00:00,22.68,69.97000122070312,370455000.0,HAIMA,370455000.0,HAIMA,,,locked,gfw_locked,gfw_confirmed,
33,2026-05-24 01:18:45+00:00,22.68,69.62999725341797,419980060.0,MT KB 27,419980060.0,MT KB 27,,,locked,gfw_locked,gfw_confirmed,
34,2026-05-24 01:18:45+00:00,22.6,69.7699966430664,352005116.0,LING HONG,352005116.0,LING HONG,,,locked,gfw_locked,gfw_confirmed,
35,2026-05-24 01:18:45+00:00,22.66,69.97000122070312,419001712.0,LILAC VICTORIA,419001712.0,LILAC VICTORIA,,,locked,gfw_locked,gfw_confirmed,
36,2026-05-12 01:18:45+00:00,22.68,69.75,636022841.0,BERGAMOT ACE,636022841.0,BERGAMOT ACE,,,locked,gfw_locked,gfw_confirmed,
37,2026-05-24 01:18:45+00:00,22.6,69.69000244140625,636016204.0,MSC PRATITI,636016204.0,MSC PRATITI,,,locked,gfw_locked,gfw_confirmed,
38,2026-05-24 01:18:45+00:00,22.62,70.05000305175781,419956398.0,M V RAMESHWAR,419956398.0,M V RAMESHWAR,,,locked,gfw_locked,gfw_confirmed,
39,2026-05-12 01:18:45+00:00,22.66,69.75,,,311001828.0,BAMSI BEYREK,0.0,0.0,consistent,relinked,newly_linked,80.0
40,2026-05-24 01:18:45+00:00,22.63,69.93000030517578,477274200.0,UNIQUE HARMONY,477274200.0,UNIQUE HARMONY,,,locked,gfw_locked,gfw_confirmed,
41,2026-05-12 01:18:45+00:00,22.61,69.83999633789062,419072900.0,PARIJAT,419072900.0,PARIJAT,,,locked,gfw_locked,gfw_confirmed,
42,2026-05-24 01:18:45+00:00,22.61,69.87000274658203,636023423.0,METRO VENETIAN,636023423.0,METRO VENETIAN,,,locked,gfw_locked,gfw_confirmed,
43,2026-05-24 01:18:45+00:00,22.52,69.66999816894531,461000235.0,CAVALIER,461000235.0,CAVALIER,,,locked,gfw_locked,gfw_confirmed,
44,2026-05-12 01:18:45+00:00,22.45,69.80000305175781,,,419001600.0,RELTUG NINE,1.112,1.112,consistent,relinked,newly_linked,80.0
45,2026-05-12 01:18:45+00:00,22.65,69.7300033569336,566446000.0,GFS GENESIS,566446000.0,GFS GENESIS,,,locked,gfw_locked,gfw_confirmed,
46,2026-05-24 01:18:45+00:00,22.65,69.95999908447266,257359000.0,MELDERSKIN,257359000.0,MELDERSKIN,,,locked,gfw_locked,gfw_confirmed,
47,2026-05-12 01:18:45+00:00,22.67,69.94999694824219,219420000.0,TORM ASTRID,219420000.0,TORM ASTRID,,,locked,gfw_locked,gfw_confirmed,
48,2026-05-12 01:18:45+00:00,22.48,69.8499984741211,,,419956957.0,MV PAWANSUTH,1.028,1.028,consistent,relinked,newly_linked,80.0
49,2026-05-24 01:18:45+00:00,22.62,69.9000015258789,566312000.0,MARITIME KELLY ANNE,566312000.0,MARITIME KELLY ANNE,,,locked,gfw_locked,gfw_confirmed,
50,2026-05-24 01:18:45+00:00,22.62,69.86000061035156,636020754.0,HILI,636020754.0,HILI,,,locked,gfw_locked,gfw_confirmed,
51,2026-05-12 01:18:45+00:00,22.56,69.61000061035156,419001109.0,SAGAR URMIKA,419001109.0,SAGAR URMIKA,,,locked,gfw_locked,gfw_confirmed,
52,2026-05-12 01:18:45+00:00,22.51,69.61000061035156,,,419002119.0,SHANAYA,0.0,0.0,consistent,relinked,newly_linked,80.0
53,2026-05-24 01:18:45+00:00,22.64,69.7699966430664,351607000.0,MSC MONICA III,351607000.0,MSC MONICA III,,,locked,gfw_locked,gfw_confirmed,
54,2026-05-24 01:18:45+00:00,22.67,69.94000244140625,441205000.0,C. INNOVATOR,441205000.0,C. INNOVATOR,,,locked,gfw_locked,gfw_confirmed,
55,2026-05-12 01:18:45+00:00,22.65,69.83999633789062,419001454.0,M.T. KB-21,419001651.0,KNK NAYRA,3.242,3.242,consistent,relinked,gfw_corrected,80.0
56,2026-05-24 01:18:45+00:00,22.65,70.0199966430664,477939700.0,GREAT LINK,477939700.0,GREAT LINK,,,locked,gfw_locked,gfw_confirmed,
57,2026-05-12 01:18:45+00:00,22.66,69.7300033569336,413584750.0,HONG LI YUAN YANG,563194100.0,SSF DYNAMIC,3.11,3.11,consistent,relinked,gfw_corrected,80.0
58,2026-05-24 01:18:45+00:00,22.49,69.69000244140625,419093600.0,KAIVAN,419093600.0,KAIVAN,,,locked,gfw_locked,gfw_confirmed,
59,2026-05-12 01:18:45+00:00,22.6,70.06999969482422,419001252.0,GAUTAM BSTAR-II,419001252.0,GAUTAM BSTAR-II,,,locked,gfw_locked,gfw_confirmed,
60,2026-05-24 01:18:45+00:00,22.67,69.7300033569336,352006020.0,CARRIE,352006020.0,CARRIE,,,locked,gfw_locked,gfw_confirmed,
61,2026-05-12 01:18:45+00:00,22.68,69.76000213623047,636018659.0,MSC NOA,636018659.0,MSC NOA,,,locked,gfw_locked,gfw_confirmed,
62,2026-05-24 01:18:45+00:00,22.66,69.70999908447266,352005127.0,HE RUN XIANG MAO,352005127.0,HE RUN XIANG MAO,,,locked,gfw_locked,gfw_confirmed,
63,2026-05-24 01:18:45+00:00,22.58,69.8499984741211,419033900.0,REL SAGAR,419033900.0,REL SAGAR,,,locked,gfw_locked,gfw_confirmed,
64,2026-05-12 01:18:45+00:00,22.66,69.58000183105469,352003740.0,DODO,352003740.0,DODO,,,locked,gfw_locked,gfw_confirmed,
