mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
408327000,ALMOAYYED 24,BHR,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 17:00:00+00:00,89.0,90,1.0,25.96878,56.05889,4.889,extended,open_water,"Khasab port, Oman",32.29,False,False,3,,False
422834000,OMRANI12,IRN,hormuz_control_mar2026,2026-01-17 03:00:00+00:00,2026-01-20 20:00:00+00:00,89.0,73,0.811,26.95849,55.74753,1.778,extended,open_water,"Qeshm Island port, Iran",51.97,False,False,3,,False
511101535,GLOBAL RANI,PLW,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 17:00:00+00:00,89.0,76,0.844,25.63,56.98,0.0,extended,open_water,"Khor Fakkan port, UAE",70.48,False,False,3,,False
341408002,BSL NORDIC,KNA,hormuz_control_mar2026,2026-01-17 07:00:00+00:00,2026-01-20 23:00:00+00:00,88.0,89,1.0,25.64989,56.95011,1.48,extended,open_water,"Khor Fakkan port, UAE",68.91,False,False,3,,False
352002260,BITUMAX,PAN,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 16:00:00+00:00,88.0,89,1.0,26.03,55.94,0.0,extended,open_water,"Khasab port, Oman",36.41,False,False,3,,False
377028000,CATRO IX,VCT,hormuz_control_mar2026,2026-01-17 09:00:00+00:00,2026-01-20 23:00:00+00:00,86.0,87,1.0,25.95011,56.05989,1.478,extended,open_water,"Khasab port, Oman",33.93,False,False,3,,False
419000303,VISHVA CHETNA,IND,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 14:00:00+00:00,86.0,87,1.0,25.62023,56.44609,3.778,extended,open_water,"Khor Fakkan port, UAE",32.53,False,False,3,,False
408833000,BBT-105,BHR,hormuz_control_mar2026,2026-01-17 10:00:00+00:00,2026-01-20 23:00:00+00:00,85.0,86,1.0,25.99,55.89,0.0,extended,open_water,"Khasab port, Oman",43.02,False,False,3,,False
352002793,NASHWAN 2,PAN,hormuz_control_mar2026,2026-01-17 13:00:00+00:00,2026-01-20 23:00:00+00:00,82.0,72,0.867,25.88042,56.00986,3.434,extended,open_water,"Khasab port, Oman",43.15,False,False,3,,False
470456000,JABAL MASAFI,ARE,hormuz_control_mar2026,2026-01-17 13:00:00+00:00,2026-01-20 23:00:00+00:00,82.0,83,1.0,25.61036,56.29988,1.476,extended,open_water,"Khor Fakkan port, UAE",30.68,False,False,3,,False
352005243,RED SNAPPER 2,PAN,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 06:00:00+00:00,78.0,79,1.0,25.94392,56.04722,3.976,extended,open_water,"Khasab port, Oman",35.21,False,False,3,,False
236111612,TELFORD 34,GIB,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 05:00:00+00:00,77.0,78,1.0,25.95,56.06,0.0,extended,open_water,"Khasab port, Oman",33.93,False,False,3,,False
538004343,IOLCOS GENESIS,MHL,hormuz_control_mar2026,2026-01-17 05:00:00+00:00,2026-01-20 09:00:00+00:00,76.0,77,1.0,26.06039,55.92,1.069,extended,open_water,"Khasab port, Oman",36.53,False,False,3,,False
632001131,VERNON,GIN,hormuz_control_mar2026,2026-01-17 19:00:00+00:00,2026-01-20 23:00:00+00:00,76.0,73,0.948,25.93973,56.92986,2.405,extended,open_water,"Khasab port, Oman",74.01,False,False,3,,False
341188002,FRONTIER,KNA,hormuz_control_mar2026,2026-01-17 20:00:00+00:00,2026-01-20 23:00:00+00:00,75.0,76,1.0,25.59,56.75,0.0,extended,open_water,"Khor Fakkan port, UAE",48.39,False,False,3,,False
477625100,GLORIA,HKG,hormuz_control_mar2026,2026-01-17 20:00:00+00:00,2026-01-20 23:00:00+00:00,75.0,76,1.0,25.98947,56.94,4.823,extended,open_water,"Khasab port, Oman",72.94,False,False,3,,False
518999173,FALCON EYE,COK,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-20 03:00:00+00:00,75.0,74,0.974,25.54,55.56,0.0,extended,open_water,"Khor Fakkan port, UAE",83.0,False,False,3,,False
339000161,DIANA,JAM,hormuz_control_mar2026,2026-01-17 22:00:00+00:00,2026-01-20 23:00:00+00:00,73.0,72,0.973,25.73,56.93,0.0,extended,open_water,"Khor Fakkan port, UAE",72.14,False,False,3,,False
307111000,BLOOMING DALE,ABW,hormuz_control_mar2026,2026-01-18 00:00:00+00:00,2026-01-20 23:00:00+00:00,71.0,72,1.0,25.62,56.95,0.0,extended,open_water,"Khor Fakkan port, UAE",67.3,False,False,3,,False
403711810,BAHRI ARASCO,SAU,hormuz_control_mar2026,2026-01-18 00:00:00+00:00,2026-01-20 23:00:00+00:00,71.0,72,1.0,26.05,55.91,0.0,extended,open_water,"Khasab port, Oman",37.93,False,False,3,,False
271000419,SAFFET BEY,TUR,hormuz_control_mar2026,2026-01-18 06:00:00+00:00,2026-01-20 23:00:00+00:00,65.0,66,1.0,25.8,55.95,0.0,extended,open_water,"Khasab port, Oman",53.92,False,False,3,,False
376268000,FALCON,VCT,hormuz_control_mar2026,2026-01-18 06:00:00+00:00,2026-01-20 23:00:00+00:00,65.0,66,1.0,25.97439,56.04712,4.035,extended,open_water,"Khasab port, Oman",32.5,False,False,3,,False
470735000,KESTREL,ARE,hormuz_control_mar2026,2026-01-18 07:00:00+00:00,2026-01-20 23:00:00+00:00,64.0,65,1.0,25.98077,56.04908,4.663,extended,open_water,"Khasab port, Oman",31.82,False,False,3,,False
518100962,S M A,COK,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 16:00:00+00:00,64.0,65,1.0,25.87,56.93,0.0,extended,open_water,"Khasab port, Oman",77.44,False,False,3,,False
471627000,OCEAN VOYAGER,,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 14:00:00+00:00,62.0,62,0.984,25.71065,55.8,2.152,extended,open_water,"Khor Fakkan port, UAE",69.43,False,False,3,,False
636092852,PATRICIA OLDENDORFF,LBR,hormuz_control_mar2026,2026-01-18 00:00:00+00:00,2026-01-20 14:00:00+00:00,62.0,63,1.0,25.98032,56.04952,3.674,extended,open_water,"Khasab port, Oman",31.84,False,False,3,,False
355100000,AQUA LIFT II,PAN,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 13:00:00+00:00,61.0,62,1.0,25.71,55.8,0.0,extended,open_water,"Khor Fakkan port, UAE",69.38,False,False,3,,False
649113000,SILVER,MLI,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 13:00:00+00:00,61.0,62,1.0,25.74371,56.88984,4.959,extended,open_water,"Khor Fakkan port, UAE",69.93,False,False,3,,False
374234000,CY INDIAN,PAN,hormuz_control_mar2026,2026-01-18 10:00:00+00:00,2026-01-20 22:00:00+00:00,60.0,61,1.0,25.96033,56.04934,4.501,extended,open_water,"Khasab port, Oman",33.61,False,False,3,,False
422043500,RAHNAVARDAN1,IRN,hormuz_control_mar2026,2026-01-17 21:00:00+00:00,2026-01-20 09:00:00+00:00,60.0,61,1.0,25.92344,55.64033,2.471,extended,open_water,"Khasab port, Oman",68.34,False,False,3,,False
470742701,FREEDOM FBUOY 1,ARE,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 12:00:00+00:00,60.0,61,1.0,26.0,56.07,0.0,extended,open_water,"Khasab port, Oman",28.85,False,False,3,,False
511100397,AL DIAB II,PLW,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 12:00:00+00:00,60.0,61,1.0,25.6718,56.98,0.911,extended,open_water,"Khor Fakkan port, UAE",72.72,False,False,3,,False
341036002,PORTLAND IV,KNA,hormuz_control_mar2026,2026-01-18 12:00:00+00:00,2026-01-20 23:00:00+00:00,59.0,60,1.0,26.07,55.94833,0.833,extended,open_water,"Khasab port, Oman",33.52,False,False,3,,False
636025158,OCEAN ENERGY,LBR,hormuz_control_mar2026,2026-01-18 12:00:00+00:00,2026-01-20 23:00:00+00:00,59.0,60,1.0,25.9575,56.0595,0.99,extended,open_water,"Khasab port, Oman",33.27,False,False,3,,False
470982000,TARPON BAY 2,ARE,hormuz_control_mar2026,2026-01-17 02:00:00+00:00,2026-01-19 12:00:00+00:00,58.0,58,0.983,25.60034,55.63914,1.529,extended,open_water,"Khor Fakkan port, UAE",77.61,False,False,3,,False
620800212,VIYANA,COM,hormuz_control_mar2026,2026-01-17 00:00:00+00:00,2026-01-19 10:00:00+00:00,58.0,58,0.983,26.96,55.66052,3.913,extended,open_water,"Qeshm Island port, Iran",60.6,False,False,3,,False
