mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
477204900,TRIMMU 3,HKG,hormuz_crisis_mar2026,2026-03-19 08:00:00+00:00,2026-03-23 23:00:00+00:00,111.0,105,0.938,25.88,56.93124,0.876,extended,open_water,"Khasab port, Oman",77.02,False,False,3,,False
572514220,RAWABI 54,TUV,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 12:00:00+00:00,108.0,109,1.0,25.8,55.95,0.0,extended,open_water,"Khasab port, Oman",53.92,False,False,3,,False
352002810,CHANG LIN,PAN,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,104,0.963,26.11,55.97,0.0,extended,open_water,"Khasab port, Oman",29.76,False,False,3,,False
471143000,HERRING ANN,,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,108,1.0,25.68343,55.76,0.731,extended,open_water,"Khor Fakkan port, UAE",71.02,False,False,3,,False
538007322,TOPAZ SVIR,MHL,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,108,1.0,25.71,55.8,0.0,extended,open_water,"Khor Fakkan port, UAE",69.38,False,False,3,,False
538008668,KSL QINGYANG,MHL,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,102,0.944,26.12333,55.88,0.741,extended,open_water,"Khasab port, Oman",37.93,False,False,3,,False
548789000,LYNG TRADER,PHL,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,99,0.917,26.05,55.92,0.0,extended,open_water,"Khasab port, Oman",37.05,False,False,3,,False
671536100,MARIA,TGO,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 11:00:00+00:00,107.0,108,1.0,26.02972,55.94009,3.45,extended,open_water,"Khasab port, Oman",36.42,False,False,3,,False
470256000,EAGLE,ARE,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 10:00:00+00:00,106.0,99,0.925,25.97939,56.04939,3.917,extended,open_water,"Khasab port, Oman",31.92,False,False,3,,False
470838000,INCHCAPE 21,ARE,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 08:00:00+00:00,104.0,100,0.952,25.9799,56.0555,1.913,extended,open_water,"Khasab port, Oman",31.5,False,False,3,,False
671543100,KASHANI MARINE,TGO,hormuz_crisis_mar2026,2026-03-19 15:00:00+00:00,2026-03-23 22:00:00+00:00,103.0,97,0.933,26.97247,55.79041,2.386,extended,open_water,"Qeshm Island port, Iran",47.75,False,False,3,,False
306531000,LENORE,BES,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 05:00:00+00:00,101.0,93,0.912,25.66,57.0557,0.571,extended,open_water,"Khor Fakkan port, UAE",78.76,False,False,3,,False
470742701,FREEDOM FBUOY 1,ARE,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-23 04:00:00+00:00,100.0,100,0.99,26.0,56.0704,0.96,extended,open_water,"Khasab port, Oman",28.82,False,False,3,,False
655150434,RICH STARRY,MWI,hormuz_crisis_mar2026,2026-03-19 23:00:00+00:00,2026-03-23 23:00:00+00:00,96.0,92,0.948,25.96989,56.92837,1.112,extended,open_water,"Khasab port, Oman",72.6,False,False,3,,False
307131000,SIMBA V,ABW,hormuz_crisis_mar2026,2026-03-20 00:00:00+00:00,2026-03-23 23:00:00+00:00,95.0,89,0.927,25.62,56.93404,0.597,extended,open_water,"Khor Fakkan port, UAE",65.88,False,False,3,,False
314001097,NEW VENTURE,BRB,hormuz_crisis_mar2026,2026-03-20 00:00:00+00:00,2026-03-23 23:00:00+00:00,95.0,92,0.958,25.66391,56.66174,1.069,extended,open_water,"Khor Fakkan port, UAE",47.38,False,False,3,,False
352004266,NOVA 1,PAN,hormuz_crisis_mar2026,2026-03-20 00:00:00+00:00,2026-03-23 23:00:00+00:00,95.0,81,0.844,25.64,56.97,0.0,extended,open_water,"Khor Fakkan port, UAE",70.11,False,False,3,,False
538003467,KSL MINGYANG,MHL,hormuz_crisis_mar2026,2026-03-20 00:00:00+00:00,2026-03-23 23:00:00+00:00,95.0,95,0.99,25.64,56.68,0.0,extended,open_water,"Khor Fakkan port, UAE",46.65,False,False,3,,False
477466800,KSL DANYANG,HKG,hormuz_crisis_mar2026,2026-03-20 02:00:00+00:00,2026-03-23 23:00:00+00:00,93.0,86,0.915,26.10012,55.84395,1.254,extended,open_water,"Khasab port, Oman",42.07,False,False,3,,False
611000201,TIFANI,BWA,hormuz_crisis_mar2026,2026-03-20 05:00:00+00:00,2026-03-23 23:00:00+00:00,90.0,91,1.0,25.73099,56.90264,2.007,extended,open_water,"Khor Fakkan port, UAE",70.04,False,False,3,,False
268241402,SEA SHORE,SMR,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,88,0.978,25.74364,56.95239,3.166,extended,open_water,"Khor Fakkan port, UAE",74.84,False,False,3,,False
477965400,PURDUE STELLAR,HKG,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,90,1.0,25.726,56.937,0.968,extended,open_water,"Khor Fakkan port, UAE",72.44,False,False,3,,False
611000248,VORAS,BWA,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,89,0.989,25.70045,56.91607,1.224,extended,open_water,"Khor Fakkan port, UAE",69.07,False,False,3,,False
613271803,CR TETHYS,CMR,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,90,1.0,25.64,56.96055,0.947,extended,open_water,"Khor Fakkan port, UAE",69.28,False,False,3,,False
620800007,ATOMIS,COM,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,90,1.0,25.78,56.99,0.0,extended,open_water,"Khor Fakkan port, UAE",80.29,False,False,3,,False
620800034,KAVIZ,COM,hormuz_crisis_mar2026,2026-03-20 05:00:00+00:00,2026-03-23 22:00:00+00:00,89.0,68,0.756,25.64221,56.98941,0.975,extended,open_water,"Khor Fakkan port, UAE",71.94,False,False,3,,False
629009436,MT VIRGO,GMB,hormuz_crisis_mar2026,2026-03-20 06:00:00+00:00,2026-03-23 23:00:00+00:00,89.0,88,0.978,25.69784,56.98977,1.008,extended,open_water,"Khor Fakkan port, UAE",75.06,False,False,3,,False
511101535,GLOBAL RANI,PLW,hormuz_crisis_mar2026,2026-03-20 08:00:00+00:00,2026-03-23 23:00:00+00:00,87.0,85,0.966,25.66094,56.92,1.007,extended,open_water,"Khor Fakkan port, UAE",66.96,False,False,3,,False
470923000,,ARE,hormuz_crisis_mar2026,2026-03-19 04:00:00+00:00,2026-03-22 16:00:00+00:00,84.0,63,0.741,25.59968,55.63127,2.192,extended,open_water,"Khor Fakkan port, UAE",78.32,False,False,3,,False
620800253,ALISA 1,COM,hormuz_crisis_mar2026,2026-03-20 11:00:00+00:00,2026-03-23 23:00:00+00:00,84.0,85,1.0,25.71153,56.96106,1.3,extended,open_water,"Khor Fakkan port, UAE",73.48,False,False,3,,False
306213000,LOUIZA,BES,hormuz_crisis_mar2026,2026-03-20 12:00:00+00:00,2026-03-23 23:00:00+00:00,83.0,84,1.0,25.78952,56.91286,4.955,extended,open_water,"Khor Fakkan port, UAE",75.01,False,False,3,,False
422999983,XARON,IRN,hormuz_crisis_mar2026,2026-03-20 05:00:00+00:00,2026-03-23 16:00:00+00:00,83.0,70,0.833,25.85,57.00029,0.972,extended,open_water,"Khasab port, Oman",84.69,False,False,3,,False
750917000,PLAN,GUY,hormuz_crisis_mar2026,2026-03-20 07:00:00+00:00,2026-03-23 16:00:00+00:00,81.0,79,0.963,25.98,57.05114,1.885,extended,open_water,"Khasab port, Oman",83.82,False,False,3,,False
649235000,STAR ADVANCE,MLI,hormuz_crisis_mar2026,2026-03-20 15:00:00+00:00,2026-03-23 23:00:00+00:00,80.0,74,0.914,25.98014,56.90068,1.53,extended,open_water,"Khasab port, Oman",69.61,False,False,3,,False
477123100,EGRET,HKG,hormuz_crisis_mar2026,2026-03-20 16:00:00+00:00,2026-03-23 23:00:00+00:00,79.0,63,0.787,26.15,57.04238,0.76,extended,open_water,"Khasab port, Oman",79.35,False,False,3,,False
422600000,HOMA,IRN,hormuz_crisis_mar2026,2026-03-19 00:00:00+00:00,2026-03-22 06:00:00+00:00,78.0,57,0.722,26.96386,55.73368,2.234,extended,open_water,"Qeshm Island port, Iran",53.35,False,False,3,,False
314109000,NORTH STAR,BRB,hormuz_crisis_mar2026,2026-03-20 19:00:00+00:00,2026-03-23 23:00:00+00:00,76.0,77,1.0,25.77013,56.89961,1.46,extended,open_water,"Khor Fakkan port, UAE",72.59,False,False,3,,False
408346000,UCO 28,BHR,hormuz_crisis_mar2026,2026-03-20 14:00:00+00:00,2026-03-23 18:00:00+00:00,76.0,77,1.0,25.96,56.05987,1.987,extended,open_water,"Khasab port, Oman",33.02,False,False,3,,False
352005774,SHENG TAI,PAN,hormuz_crisis_mar2026,2026-03-20 20:00:00+00:00,2026-03-23 23:00:00+00:00,75.0,76,1.0,26.02,55.8,0.0,extended,open_water,"Khasab port, Oman",49.29,False,False,3,,False
355100000,AQUA LIFT II,PAN,hormuz_crisis_mar2026,2026-03-20 09:00:00+00:00,2026-03-23 11:00:00+00:00,74.0,69,0.92,25.71014,55.8,1.096,extended,open_water,"Khor Fakkan port, UAE",69.39,False,False,3,,False
470058000,MACKEREL ANN,ARE,hormuz_crisis_mar2026,2026-03-20 10:00:00+00:00,2026-03-23 11:00:00+00:00,73.0,74,1.0,25.69,55.75,0.0,extended,open_water,"Khor Fakkan port, UAE",72.26,False,False,3,,False
356773000,EPIK,PAN,hormuz_crisis_mar2026,2026-03-20 11:00:00+00:00,2026-03-23 09:00:00+00:00,70.0,71,1.0,25.61,57.01,0.0,extended,open_water,"Khor Fakkan port, UAE",72.22,False,False,3,,False
649115000,TRIUM,MLI,hormuz_crisis_mar2026,2026-03-20 05:00:00+00:00,2026-03-23 02:00:00+00:00,69.0,70,1.0,25.62957,57.00029,3.866,extended,open_water,"Khor Fakkan port, UAE",72.27,False,False,3,,False
353120000,HEILAN JOURNEY,PAN,hormuz_crisis_mar2026,2026-03-21 03:00:00+00:00,2026-03-23 23:00:00+00:00,68.0,69,1.0,26.11,55.86594,0.593,extended,open_water,"Khasab port, Oman",39.66,False,False,3,,False
620092000,STORK II,COM,hormuz_crisis_mar2026,2026-03-21 02:00:00+00:00,2026-03-23 22:00:00+00:00,68.0,69,1.0,25.64,55.72,0.0,extended,open_water,"Khor Fakkan port, UAE",72.08,False,False,3,,False
511100970,LADY VALERY,PLW,hormuz_crisis_mar2026,2026-03-21 06:00:00+00:00,2026-03-23 23:00:00+00:00,65.0,65,0.985,25.69015,55.78,1.095,extended,open_water,"Khor Fakkan port, UAE",69.75,False,False,3,,False
356359000,MOSHTARAKA 1,PAN,hormuz_crisis_mar2026,2026-03-20 16:00:00+00:00,2026-03-23 08:00:00+00:00,64.0,60,0.923,25.98017,56.0595,2.235,extended,open_water,"Khasab port, Oman",31.23,False,False,3,,False
257933000,BELRAY,NOR,hormuz_crisis_mar2026,2026-03-20 23:00:00+00:00,2026-03-23 11:00:00+00:00,60.0,57,0.934,26.05982,55.95982,1.093,extended,open_water,"Khasab port, Oman",33.02,False,False,3,,False
