mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
419001053,OCEAN AQUAMARINE,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2026-01-12 05:00:00+00:00,1013.0,1012,0.998,12.93,74.81929,1.007,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.1,False,False,4,prolonged_dwell_open_water,False
419002080,COASTAL ANTARAA,IND,india_mangalore_dec2025_jan2026,2025-12-10 12:00:00+00:00,2026-01-14 23:00:00+00:00,851.0,852,1.0,12.93001,74.82,1.111,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,4,prolonged_dwell_open_water,False
419001850,OCEAN SPLENDOUR,IND,india_mangalore_dec2025_jan2026,2025-12-03 07:00:00+00:00,2025-12-27 08:00:00+00:00,577.0,577,0.998,12.92315,74.81135,2.436,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.41,False,False,4,prolonged_dwell_open_water,False
419000167,OCEAN ICON,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-24 02:00:00+00:00,554.0,552,0.995,12.92455,74.8125,2.512,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.32,False,False,4,prolonged_dwell_open_water,False
419779000,SCI MUKTA,IND,india_mangalore_dec2025_jan2026,2025-12-13 08:00:00+00:00,2025-12-31 06:00:00+00:00,430.0,430,0.998,12.91947,74.67923,3.837,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.5,False,False,4,prolonged_dwell_open_water,False
419000167,OCEAN ICON,IND,india_mangalore_dec2025_jan2026,2025-12-26 17:00:00+00:00,2026-01-12 03:00:00+00:00,394.0,393,0.995,12.92242,74.81114,2.442,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.47,False,False,4,prolonged_dwell_open_water,False
419801746,YOJAKA DHRUV,IND,india_mangalore_dec2025_jan2026,2025-12-16 10:00:00+00:00,2025-12-30 16:00:00+00:00,342.0,336,0.98,12.92946,74.80203,2.273,prolonged,open_water,Jamnagar (Sikka) marine terminal,1185.33,False,False,4,prolonged_dwell_open_water,False
419001850,OCEAN SPLENDOUR,IND,india_mangalore_dec2025_jan2026,2025-12-27 11:00:00+00:00,2026-01-09 08:00:00+00:00,309.0,310,1.0,12.92352,74.81097,2.078,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.35,False,False,4,prolonged_dwell_open_water,False
419001902,BURAQ 11,IND,india_mangalore_dec2025_jan2026,2025-12-19 16:00:00+00:00,2026-01-01 04:00:00+00:00,300.0,300,0.997,12.915,74.67303,4.045,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.65,False,False,4,prolonged_dwell_open_water,False
419801746,YOJAKA DHRUV,IND,india_mangalore_dec2025_jan2026,2025-12-02 05:00:00+00:00,2025-12-14 04:00:00+00:00,287.0,288,1.0,12.92931,74.80184,4.651,prolonged,open_water,Jamnagar (Sikka) marine terminal,1185.34,False,False,4,prolonged_dwell_open_water,False
419000117,DOLPHIN NO.2,IND,india_mangalore_dec2025_jan2026,2025-12-02 07:00:00+00:00,2025-12-14 02:00:00+00:00,283.0,279,0.982,12.92233,74.81061,3.327,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.45,False,False,4,prolonged_dwell_open_water,False
419779000,SCI MUKTA,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-12 11:00:00+00:00,275.0,276,1.0,12.91145,74.66232,2.301,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.51,False,False,4,prolonged_dwell_open_water,False
419001902,BURAQ 11,IND,india_mangalore_dec2025_jan2026,2026-01-03 17:00:00+00:00,2026-01-14 09:00:00+00:00,256.0,253,0.984,12.90897,74.6619,3.669,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.74,False,False,4,prolonged_dwell_open_water,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2025-12-28 10:00:00+00:00,2026-01-07 11:00:00+00:00,241.0,242,1.0,12.92521,74.81264,3.585,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.26,False,False,4,prolonged_dwell_open_water,False
636023001,LIMA TRADER,LBR,india_mangalore_dec2025_jan2026,2025-12-06 05:00:00+00:00,2025-12-15 12:00:00+00:00,223.0,216,0.964,12.95,74.62,0.0,prolonged,open_water,Jamnagar (Sikka) marine terminal,1174.66,False,False,4,prolonged_dwell_open_water,False
419001902,BURAQ 11,IND,india_mangalore_dec2025_jan2026,2025-12-01 15:00:00+00:00,2025-12-10 11:00:00+00:00,212.0,213,1.0,12.9062,74.65939,2.71,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.9,False,False,4,prolonged_dwell_open_water,False
419000633,SAMUDRA RATNAKAR,IND,india_mangalore_dec2025_jan2026,2025-12-01 04:00:00+00:00,2025-12-09 18:00:00+00:00,206.0,207,1.0,12.93,74.8187,0.943,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.08,False,False,4,prolonged_dwell_open_water,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2025-12-04 22:00:00+00:00,2025-12-13 10:00:00+00:00,204.0,205,1.0,12.9219,74.81083,2.244,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.51,False,False,4,prolonged_dwell_open_water,False
248550000,PERTH I,MLT,india_mangalore_dec2025_jan2026,2025-12-06 13:00:00+00:00,2025-12-14 18:00:00+00:00,197.0,198,1.0,12.9299,74.81985,3.417,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,4,prolonged_dwell_open_water,False
419779000,SCI MUKTA,IND,india_mangalore_dec2025_jan2026,2026-01-06 18:00:00+00:00,2026-01-14 23:00:00+00:00,197.0,193,0.975,12.92,74.68,0.0,prolonged,open_water,Jamnagar (Sikka) marine terminal,1180.48,False,False,4,prolonged_dwell_open_water,False
419000117,DOLPHIN NO.2,IND,india_mangalore_dec2025_jan2026,2025-12-30 02:00:00+00:00,2026-01-07 00:00:00+00:00,190.0,184,0.963,12.92266,74.81087,2.404,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.43,False,False,4,prolonged_dwell_open_water,False
370356000,LUCKY EILEEN,PAN,india_mangalore_dec2025_jan2026,2026-01-04 21:00:00+00:00,2026-01-12 16:00:00+00:00,187.0,187,0.995,12.92995,74.81979,4.452,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,4,prolonged_dwell_open_water,False
419000274,OCEAN HARMONY,IND,india_mangalore_dec2025_jan2026,2025-12-16 10:00:00+00:00,2025-12-24 02:00:00+00:00,184.0,185,1.0,12.93686,74.81816,3.146,prolonged,open_water,Jamnagar (Sikka) marine terminal,1185.37,False,False,4,prolonged_dwell_open_water,False
419000533,OCEAN ENDURANCE,IND,india_mangalore_dec2025_jan2026,2026-01-07 13:00:00+00:00,2026-01-14 23:00:00+00:00,178.0,177,0.989,12.92373,74.81164,4.532,prolonged,open_water,Jamnagar (Sikka) marine terminal,1186.36,False,False,4,prolonged_dwell_open_water,False
419956204,BLUE DAIMOND,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-08 00:00:00+00:00,168.0,169,1.0,12.86,74.83,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1193.6,False,False,3,,False
419017300,DCI DREDGE XVI,IND,india_mangalore_dec2025_jan2026,2026-01-08 02:00:00+00:00,2026-01-14 23:00:00+00:00,165.0,166,1.0,12.93036,74.82,1.072,extended,open_water,Jamnagar (Sikka) marine terminal,1186.1,False,False,3,,False
636093244,GASCHEM EUROPE,LBR,india_mangalore_dec2025_jan2026,2025-12-26 06:00:00+00:00,2026-01-02 02:00:00+00:00,164.0,165,1.0,12.96,74.6,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1172.72,False,False,3,,False
