mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
1651,,,jamnagar_vadinar_feb2026,2026-01-27 19:00:00+00:00,2026-02-07 11:00:00+00:00,256.0,217,0.844,22.56088,69.76138,1.548,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),11.5,False,False,6,prolonged_dwell_at_flagged_facility,True
667001243,PRISMA,SLE,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-01-29 09:00:00+00:00,225.0,226,1.0,22.57058,69.68009,4.953,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),3.84,False,False,6,prolonged_dwell_at_flagged_facility,True
667001287,TIBURON,SLE,jamnagar_vadinar_feb2026,2026-01-24 04:00:00+00:00,2026-02-02 03:00:00+00:00,215.0,216,1.0,22.55995,69.64,1.107,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),1.51,False,False,6,prolonged_dwell_at_flagged_facility,True
667002270,SAPNA,SLE,jamnagar_vadinar_feb2026,2026-01-28 09:00:00+00:00,2026-02-06 03:00:00+00:00,210.0,211,1.0,22.56232,69.66389,4.352,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),1.98,False,False,6,prolonged_dwell_at_flagged_facility,True
613511209,SEASONS I,CMR,jamnagar_vadinar_feb2026,2026-01-27 20:00:00+00:00,2026-02-04 08:00:00+00:00,180.0,181,1.0,22.54983,69.65426,3.69,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),0.44,False,False,6,prolonged_dwell_at_flagged_facility,True
636023057,BUNUN YOUTH,LBR,jamnagar_vadinar_feb2026,2026-01-20 09:00:00+00:00,2026-01-27 13:00:00+00:00,172.0,173,1.0,22.65965,69.71023,4.924,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),13.67,False,False,6,prolonged_dwell_at_flagged_facility,True
341075002,SWISSCO PEARL,KNA,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-16 23:00:00+00:00,671.0,672,1.0,22.44,69.67,0.0,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,5.26,True,False,5,,False
419001600,RELTUG NINE,IND,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-15 09:00:00+00:00,633.0,630,0.994,22.44562,69.79889,2.861,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,8.29,False,True,5,,False
419001613,M.T. OCEAN BIRD,IND,jamnagar_vadinar_feb2026,2026-01-25 00:00:00+00:00,2026-02-16 23:00:00+00:00,551.0,549,0.995,22.56213,69.75519,2.526,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),10.89,False,True,5,,False
419001488,RELTUG NINETEEN,IND,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-11 02:00:00+00:00,530.0,531,1.0,22.5013,69.8367,4.939,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.38,False,True,5,,False
419093600,KAIVAN,IND,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-10 03:00:00+00:00,507.0,504,0.992,22.477,69.68814,4.517,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,6.17,False,True,5,,False
419000607,OCEAN CITRINE,IND,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-06 23:00:00+00:00,431.0,432,1.0,22.69935,69.62648,2.737,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.78,False,True,5,,False
419957016,KB 47,IND,jamnagar_vadinar_feb2026,2026-01-26 14:00:00+00:00,2026-02-13 04:00:00+00:00,422.0,398,0.941,22.68337,69.66171,2.016,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),14.88,False,True,5,,False
419067700,MV PERSISTENCE,IND,jamnagar_vadinar_feb2026,2026-01-20 00:00:00+00:00,2026-02-04 20:00:00+00:00,380.0,381,1.0,22.39013,69.60982,3.778,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.16,False,True,5,,False
419024600,ESSAR TUG XI,IND,jamnagar_vadinar_feb2026,2026-02-01 13:00:00+00:00,2026-02-16 22:00:00+00:00,369.0,356,0.962,22.38947,69.61028,2.384,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.15,False,True,5,,False
419082300,DOLPHIN NO.11,IND,jamnagar_vadinar_feb2026,2026-02-03 14:00:00+00:00,2026-02-16 23:00:00+00:00,321.0,317,0.984,22.68748,69.66625,1.862,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.38,False,True,5,,False
419001487,RELTUG EIGHTEEN,IND,jamnagar_vadinar_feb2026,2026-02-04 01:00:00+00:00,2026-02-16 00:00:00+00:00,287.0,288,1.0,22.50059,69.83836,4.493,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.48,False,True,5,,False
