mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
311001828,BAMSI BEYREK,BHS,jamnagar_vadinar_may2026,2026-05-09 14:00:00+00:00,2026-05-24 08:00:00+00:00,354.0,355,1.0,22.66003,69.74997,1.509,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.97,False,False,6,prolonged_dwell_at_flagged_facility,True
566446000,GFS GENESIS,SGP,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-16 22:00:00+00:00,286.0,287,1.0,22.65,69.73,0.0,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),13.82,False,False,6,prolonged_dwell_at_flagged_facility,True
352005381,DARIKA,PAN,jamnagar_vadinar_may2026,2026-05-13 17:00:00+00:00,2026-05-23 11:00:00+00:00,234.0,235,1.0,22.50872,69.61,0.97,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),6.16,False,False,6,prolonged_dwell_at_flagged_facility,True
636093083,TEMA EXPRESS,LBR,jamnagar_vadinar_may2026,2026-05-12 07:00:00+00:00,2026-05-21 20:00:00+00:00,229.0,230,1.0,22.67974,69.77104,1.088,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),19.04,False,False,6,prolonged_dwell_at_flagged_facility,True
352004297,KAIDAHONGZHOU,PAN,jamnagar_vadinar_may2026,2026-05-15 10:00:00+00:00,2026-05-23 21:00:00+00:00,203.0,204,1.0,22.6701,69.75981,4.645,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),17.48,False,False,6,prolonged_dwell_at_flagged_facility,True
249245000,COSTAS P,MLT,jamnagar_vadinar_may2026,2026-05-13 00:00:00+00:00,2026-05-20 12:00:00+00:00,180.0,180,0.994,22.53883,69.60933,0.985,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),4.36,False,False,6,prolonged_dwell_at_flagged_facility,True
352001285,CHEMROAD ZENITH,PAN,jamnagar_vadinar_may2026,2026-05-10 08:00:00+00:00,2026-05-17 10:00:00+00:00,170.0,171,1.0,22.65105,69.54807,2.116,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.35,False,False,6,prolonged_dwell_at_flagged_facility,True
636023650,HMM GARNET,LBR,jamnagar_vadinar_may2026,2026-05-12 09:00:00+00:00,2026-05-19 10:00:00+00:00,169.0,170,1.0,22.69176,69.77747,2.434,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),20.49,False,False,6,prolonged_dwell_at_flagged_facility,True
419957006,RAJAVEER  -5,IND,jamnagar_vadinar_may2026,2026-05-06 20:00:00+00:00,2026-05-25 23:00:00+00:00,459.0,403,0.876,22.45672,69.79884,4.176,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,8.63,False,True,5,,False
419980060,MT KB 27,IND,jamnagar_vadinar_may2026,2026-05-06 14:00:00+00:00,2026-05-25 10:00:00+00:00,452.0,432,0.954,22.68727,69.62639,1.56,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.45,False,True,5,,False
419000607,OCEAN CITRINE,IND,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-22 09:00:00+00:00,417.0,405,0.969,22.69862,69.62839,3.878,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.67,False,True,5,,False
419001884,MT KB 50,IND,jamnagar_vadinar_may2026,2026-05-09 08:00:00+00:00,2026-05-25 23:00:00+00:00,399.0,394,0.985,22.51089,69.69503,3.766,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),6.35,False,True,5,,False
419000893,OCEAN     CORAL,IND,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-20 14:00:00+00:00,374.0,375,1.0,22.48312,69.68376,4.999,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,6.98,False,True,5,,False
419067700,MV PERSISTENCE,IND,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-20 02:00:00+00:00,362.0,356,0.981,22.39008,69.60992,3.016,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.16,False,True,5,,False
419957016,KB 47,IND,jamnagar_vadinar_may2026,2026-05-08 18:00:00+00:00,2026-05-21 06:00:00+00:00,300.0,285,0.947,22.68463,69.66298,3.256,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.03,False,True,5,,False
419001613,M.T. OCEAN BIRD,IND,jamnagar_vadinar_may2026,2026-05-14 14:00:00+00:00,2026-05-25 23:00:00+00:00,273.0,272,0.993,22.56596,69.75919,4.142,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),11.35,False,True,5,,False
419001488,RELTUG NINETEEN,IND,jamnagar_vadinar_may2026,2026-05-08 11:00:00+00:00,2026-05-19 07:00:00+00:00,260.0,261,1.0,22.50238,69.83295,4.827,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.12,False,True,5,,False
419956957,MV PAWANSUTH,IND,jamnagar_vadinar_may2026,2026-05-15 11:00:00+00:00,2026-05-25 23:00:00+00:00,252.0,207,0.818,22.48174,69.84009,2.28,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,13.62,False,True,5,,False
419000521,M.V 0CEAN **OPAL,IND,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-15 02:00:00+00:00,242.0,237,0.975,22.43397,69.67,4.007,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,5.16,False,True,5,,False
419077800,REL DARSHAN,IND,jamnagar_vadinar_may2026,2026-05-12 14:00:00+00:00,2026-05-22 02:00:00+00:00,228.0,229,1.0,22.56135,69.84974,3.355,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,19.77,False,True,5,,False
419956564,M T KB XVII,IND,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-14 09:00:00+00:00,225.0,207,0.916,22.69179,69.62705,4.41,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.94,False,True,5,,False
419057400,RELTUG TWELVE,IND,jamnagar_vadinar_may2026,2026-05-16 19:00:00+00:00,2026-05-25 23:00:00+00:00,220.0,221,1.0,22.49181,69.84778,4.989,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.82,False,True,5,,False
419001120,OCEAN AMMOLITE,IND,jamnagar_vadinar_may2026,2026-05-06 14:00:00+00:00,2026-05-15 07:00:00+00:00,209.0,203,0.967,22.43562,69.67,0.624,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,5.18,False,True,5,,False
419002118,AVYAAN,IND,jamnagar_vadinar_may2026,2026-05-10 15:00:00+00:00,2026-05-19 05:00:00+00:00,206.0,207,1.0,22.55126,69.63628,4.621,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),1.42,False,True,5,,False
419002119,SHANAYA,IND,jamnagar_vadinar_may2026,2026-05-05 15:00:00+00:00,2026-05-13 11:00:00+00:00,188.0,189,1.0,22.51,69.60783,1.25,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),6.21,False,True,5,,False
419796000,DESH SAMMAN,IND,jamnagar_vadinar_may2026,2026-05-18 03:00:00+00:00,2026-05-25 23:00:00+00:00,188.0,189,1.0,22.56021,69.62,1.088,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),3.28,False,True,5,,False
419066400,M V CHETAK,IND,jamnagar_vadinar_may2026,2026-05-11 20:00:00+00:00,2026-05-19 14:00:00+00:00,186.0,184,0.984,22.4988,69.84109,4.834,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.61,False,True,5,,False
419001256,MV COASTAL COMMANDER,IND,jamnagar_vadinar_may2026,2026-05-18 14:00:00+00:00,2026-05-25 23:00:00+00:00,177.0,178,1.0,22.5627,69.75174,2.043,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),10.54,False,True,5,,False
419014300,MV APURVA,IND,jamnagar_vadinar_may2026,2026-05-18 22:00:00+00:00,2026-05-25 23:00:00+00:00,169.0,170,1.0,22.49,69.858,0.822,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,15.67,False,True,5,,False
255806419,STOLT APAL,PRT,jamnagar_vadinar_may2026,2026-05-10 11:00:00+00:00,2026-05-16 19:00:00+00:00,152.0,152,0.993,22.53599,69.62487,4.089,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),3.01,False,False,5,,False
636020910,KONRAD,LBR,jamnagar_vadinar_may2026,2026-05-13 04:00:00+00:00,2026-05-19 05:00:00+00:00,145.0,146,1.0,22.67014,69.73658,2.939,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.05,False,False,5,,False
636018319,MSC POSITANO,LBR,jamnagar_vadinar_may2026,2026-05-12 04:00:00+00:00,2026-05-17 23:00:00+00:00,139.0,140,1.0,22.68993,69.74143,1.114,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),18.17,False,False,5,,False
563485000,WAN HAI 311,SGP,jamnagar_vadinar_may2026,2026-05-20 05:00:00+00:00,2026-05-25 23:00:00+00:00,138.0,139,1.0,22.64986,69.71986,3.005,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),13.22,False,False,5,,False
538007475,PACIFIC WAVE,MHL,jamnagar_vadinar_may2026,2026-05-05 00:00:00+00:00,2026-05-10 17:00:00+00:00,137.0,138,1.0,22.64986,69.58485,4.212,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),12.96,False,False,5,,False
538008153,IONIAN STAR,MHL,jamnagar_vadinar_may2026,2026-05-15 18:00:00+00:00,2026-05-20 20:00:00+00:00,122.0,123,1.0,22.54528,69.60805,4.47,extended,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),4.34,False,False,5,,False
