mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
636023585,NAV LAXMI,LBR,jamnagar_vadinar_sep_oct2025,2025-09-01 00:00:00+00:00,2025-10-04 12:00:00+00:00,804.0,805,1.0,22.65996,69.72885,1.114,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),14.66,False,False,6,prolonged_dwell_at_flagged_facility,True
1651,,,jamnagar_vadinar_sep_oct2025,2025-09-01 00:00:00+00:00,2025-09-25 15:00:00+00:00,591.0,558,0.943,22.56211,69.76084,1.417,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),11.46,False,False,6,prolonged_dwell_at_flagged_facility,True
668116306,MAVERICK,STP,jamnagar_vadinar_sep_oct2025,2025-09-18 22:00:00+00:00,2025-10-11 23:00:00+00:00,553.0,554,1.0,22.51016,69.61475,1.22,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),5.72,False,False,6,prolonged_dwell_at_flagged_facility,True
341075002,SWISSCO PEARL,KNA,jamnagar_vadinar_sep_oct2025,2025-09-20 18:00:00+00:00,2025-10-11 23:00:00+00:00,509.0,510,1.0,22.48,69.69,0.0,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,6.36,False,False,6,prolonged_dwell_at_flagged_facility,True
305776000,BBC OPAL,ATG,jamnagar_vadinar_sep_oct2025,2025-09-12 07:00:00+00:00,2025-09-25 11:00:00+00:00,316.0,317,1.0,22.66,69.74492,1.531,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.64,False,False,6,prolonged_dwell_at_flagged_facility,True
538002459,YASA NESLIHAN,MHL,jamnagar_vadinar_sep_oct2025,2025-09-26 18:00:00+00:00,2025-10-09 15:00:00+00:00,309.0,310,1.0,22.65013,69.70387,2.297,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),12.43,False,False,6,prolonged_dwell_at_flagged_facility,True
538007314,NAGUAL,MHL,jamnagar_vadinar_sep_oct2025,2025-09-10 07:00:00+00:00,2025-09-22 20:00:00+00:00,301.0,302,1.0,22.66815,69.755,1.041,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.99,False,False,6,prolonged_dwell_at_flagged_facility,True
538005303,SEA PLUTO,MHL,jamnagar_vadinar_sep_oct2025,2025-09-13 11:00:00+00:00,2025-09-25 15:00:00+00:00,292.0,293,1.0,22.65795,69.70508,1.027,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),13.27,False,False,6,prolonged_dwell_at_flagged_facility,True
563270800,THERESA DUA,SGP,jamnagar_vadinar_sep_oct2025,2025-09-25 04:00:00+00:00,2025-10-06 23:00:00+00:00,283.0,284,1.0,22.64697,69.73,3.673,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),13.55,False,False,6,prolonged_dwell_at_flagged_facility,True
621819112,CHONGCHON,DJI,jamnagar_vadinar_sep_oct2025,2025-09-08 18:00:00+00:00,2025-09-20 11:00:00+00:00,281.0,282,1.0,22.55007,69.64,2.216,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),1.03,False,False,6,prolonged_dwell_at_flagged_facility,True
564232000,KWK PROVIDENCE,SGP,jamnagar_vadinar_sep_oct2025,2025-09-01 10:00:00+00:00,2025-09-11 09:00:00+00:00,239.0,240,1.0,22.51575,69.54804,2.963,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),11.14,False,False,6,prolonged_dwell_at_flagged_facility,True
566207000,GREAT 61,SGP,jamnagar_vadinar_sep_oct2025,2025-09-30 12:00:00+00:00,2025-10-10 05:00:00+00:00,233.0,234,1.0,22.64,69.71876,0.899,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),12.25,False,False,6,prolonged_dwell_at_flagged_facility,True
610107082,RUNA,BEN,jamnagar_vadinar_sep_oct2025,2025-09-03 01:00:00+00:00,2025-09-12 00:00:00+00:00,215.0,216,1.0,22.55019,69.60866,3.514,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),4.25,False,False,6,prolonged_dwell_at_flagged_facility,True
636021630,MANTA SENA,LBR,jamnagar_vadinar_sep_oct2025,2025-09-22 23:00:00+00:00,2025-10-01 17:00:00+00:00,210.0,211,1.0,22.67009,69.74981,4.646,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.83,False,False,6,prolonged_dwell_at_flagged_facility,True
374960000,NESREENA,PAN,jamnagar_vadinar_sep_oct2025,2025-10-03 06:00:00+00:00,2025-10-11 23:00:00+00:00,209.0,210,1.0,22.67981,69.726,4.721,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.41,False,False,6,prolonged_dwell_at_flagged_facility,True
548766000,EVA FUKUOKA,PHL,jamnagar_vadinar_sep_oct2025,2025-09-02 09:00:00+00:00,2025-09-10 22:00:00+00:00,205.0,206,1.0,22.66015,69.5599,3.32,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),15.35,False,False,6,prolonged_dwell_at_flagged_facility,True
241485000,PRUDENT WARRIOR,GRC,jamnagar_vadinar_sep_oct2025,2025-09-14 16:00:00+00:00,2025-09-22 05:00:00+00:00,181.0,182,1.0,22.64516,69.62956,3.996,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),10.79,False,False,6,prolonged_dwell_at_flagged_facility,True
373565000,V BRAVO,PAN,jamnagar_vadinar_sep_oct2025,2025-09-01 06:00:00+00:00,2025-09-08 12:00:00+00:00,174.0,175,1.0,22.69971,69.75834,1.378,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),20.02,False,False,6,prolonged_dwell_at_flagged_facility,True
419001947,COASTAL ANUGRAH,IND,jamnagar_vadinar_sep_oct2025,2025-09-09 02:00:00+00:00,2025-10-11 23:00:00+00:00,789.0,790,1.0,22.56961,69.75996,2.411,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),11.5,False,True,5,,False
419000607,OCEAN CITRINE,IND,jamnagar_vadinar_sep_oct2025,2025-09-11 17:00:00+00:00,2025-10-11 23:00:00+00:00,726.0,727,1.0,22.69959,69.62644,2.276,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),16.81,False,True,5,,False
419001130,VIHAAN,IND,jamnagar_vadinar_sep_oct2025,2025-09-01 00:00:00+00:00,2025-09-27 15:00:00+00:00,639.0,640,1.0,22.44017,69.67,3.317,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,5.26,False,True,5,,False
419957016,KB 47,IND,jamnagar_vadinar_sep_oct2025,2025-09-19 14:00:00+00:00,2025-10-11 23:00:00+00:00,537.0,521,0.968,22.68432,69.66217,2.023,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),14.99,False,True,5,,False
419956957,MV PAWANSUTH,IND,jamnagar_vadinar_sep_oct2025,2025-09-18 19:00:00+00:00,2025-10-10 08:00:00+00:00,517.0,518,1.0,22.48272,69.83716,4.855,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,13.39,False,True,5,,False
419093600,KAIVAN,IND,jamnagar_vadinar_sep_oct2025,2025-09-01 00:00:00+00:00,2025-09-21 01:00:00+00:00,481.0,449,0.932,22.4769,69.68871,4.794,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,6.13,False,True,5,,False
419292000,RELTUG SIX,IND,jamnagar_vadinar_sep_oct2025,2025-09-04 01:00:00+00:00,2025-09-22 07:00:00+00:00,438.0,434,0.989,22.48,69.83,0.0,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.6,False,True,5,,False
419991279,DARIYA JYOT,IND,jamnagar_vadinar_sep_oct2025,2025-09-01 00:00:00+00:00,2025-09-17 02:00:00+00:00,386.0,384,0.992,22.43013,69.67,3.321,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,5.14,False,True,5,,False
419001517,SHARAN,IND,jamnagar_vadinar_sep_oct2025,2025-09-05 06:00:00+00:00,2025-09-21 06:00:00+00:00,384.0,385,1.0,22.39013,69.60984,3.781,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.16,False,True,5,,False
419000893,OCEAN     CORAL,IND,jamnagar_vadinar_sep_oct2025,2025-09-26 08:00:00+00:00,2025-10-11 23:00:00+00:00,375.0,376,1.0,22.47965,69.68141,4.563,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,6.8,False,True,5,,False
419001488,RELTUG NINETEEN,IND,jamnagar_vadinar_sep_oct2025,2025-09-09 14:00:00+00:00,2025-09-25 05:00:00+00:00,375.0,376,1.0,22.50234,69.83316,4.849,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,14.14,False,True,5,,False
419957016,KB 47,IND,jamnagar_vadinar_sep_oct2025,2025-09-03 16:00:00+00:00,2025-09-19 04:00:00+00:00,372.0,365,0.979,22.68422,69.6623,2.525,prolonged,flagged_facility,Vadinar terminal / Nayara refinery (EU+UK sanctioned),14.98,False,True,5,,False
419001517,SHARAN,IND,jamnagar_vadinar_sep_oct2025,2025-09-22 00:00:00+00:00,2025-10-06 15:00:00+00:00,351.0,352,1.0,22.39009,69.60989,3.787,prolonged,flagged_facility,Jamnagar (Sikka) marine terminal,12.16,False,True,5,,False
