source,dataset_file,mmsi,ship_name,vessel_type,type_class,t0,t1,lat0,lon0,lat1,lon1,elapsed_hours,straight_line_distance_km,sea_route_distance_km,route_method,required_speed_knots,straight_line_speed_knots,classification,notes,is_retro_target,prior_metric,prior_tier,prior_gap_hours
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-18T13:00:00+00:00,2026-01-18T14:00:00+00:00,25.86,55.62,25.83,55.58,1.0,5.21,0.0,searoute_recorded_not_used,2.81,2.81,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (2.8 kn),False,10.5,notable,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-18T14:00:00+00:00,2026-01-18T15:00:00+00:00,25.83,55.58,25.84,55.61,1.0,3.2,0.0,searoute_recorded_not_used,1.73,1.73,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (1.7 kn),False,8.3,notable,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-18T15:00:00+00:00,2026-01-18T16:00:00+00:00,25.84,55.61,25.85,55.63,1.0,2.29,,haversine_only,1.24,1.24,PLAUSIBLE,,False,1.0,normal,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-18T16:00:00+00:00,2026-01-18T17:00:00+00:00,25.85,55.63,25.85,55.63,1.0,0.0,,stationary,0.0,0.0,PLAUSIBLE,essentially stationary,False,2.3,normal,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-18T17:00:00+00:00,2026-01-19T10:00:00+00:00,25.85,55.63,25.88,56.02,17.0,39.16,46.09,searoute_recorded_not_used,1.24,1.24,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (1.2 kn),False,39.2,notable,17.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-19T10:00:00+00:00,2026-01-19T11:00:00+00:00,25.88,56.02,25.92,55.97,1.0,6.69,0.0,searoute_recorded_not_used,3.61,3.61,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (3.6 kn),False,8.4,notable,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-19T11:00:00+00:00,2026-01-20T12:00:00+00:00,25.92,55.97,25.89,56.02,25.0,6.01,0.0,searoute_recorded_not_used,0.13,0.13,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (0.1 kn),False,173.3,high,25.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-20T12:00:00+00:00,2026-01-20T13:00:00+00:00,25.89,56.02,25.9,55.62,1.0,40.03,46.09,searoute,24.89,21.61,IMPLAUSIBLE_BUT_POSSIBLE,,False,40.2,high,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-20T13:00:00+00:00,2026-01-20T14:00:00+00:00,25.9,55.62,25.85,55.53,1.0,10.58,0.0,searoute_recorded_not_used,5.71,5.71,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (5.7 kn),False,31.7,high,1.0
trajectory_consecutive_actual,data/processed/hormuz_trajectory_deviation_v2.csv,9123002,HMR FISHING BOAT,GEAR,fishing,2026-01-20T14:00:00+00:00,2026-01-20T15:00:00+00:00,25.85,55.53,25.87,55.55,1.0,2.99,0.0,searoute_recorded_not_used,1.62,1.62,PLAUSIBLE,sea route not used for verdict (hop below searoute node spacing); classified on straight line (1.6 kn),False,13.5,notable,1.0
