mmsi,ship_name,imo,flag_state,resolved_vessel_type,event_no,check,window,timestamp,value_type,value,gap12_hours
511101414,SELENIA,,PLW,OTHER,1,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-19 01:00:00+00:00,deviation_km,25.88,1.0
511101414,SELENIA,,PLW,OTHER,2,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-19 05:00:00+00:00,deviation_km,28.09,1.0
511101414,SELENIA,,PLW,OTHER,3,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-20 11:00:00+00:00,deviation_km,652.45,29.0
511101414,SELENIA,,PLW,OTHER,3,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-20 13:00:00+00:00,deviation_km,32.31,1.0
511101414,SELENIA,,PLW,OTHER,4,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-20 18:00:00+00:00,deviation_km,25.89,1.0
511101414,SELENIA,,PLW,OTHER,4,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-20 19:00:00+00:00,deviation_km,25.11,1.0
511101414,SELENIA,,PLW,OTHER,4,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-20 21:00:00+00:00,deviation_km,40.09,1.0
636018010,PATRIS,9766889,LBR,TANKER,1,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-17 05:00:00+00:00,deviation_km,32.65,1.0
636018010,PATRIS,9766889,LBR,TANKER,1,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-17 07:00:00+00:00,deviation_km,32.47,1.0
636018010,PATRIS,9766889,LBR,TANKER,2,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-19 18:00:00+00:00,deviation_km,3220.69,59.0
636018010,PATRIS,9766889,LBR,TANKER,2,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-19 19:00:00+00:00,deviation_km,30.24,1.0
636018010,PATRIS,9766889,LBR,TANKER,3,trajectory_deviation_high,"CONTROL (Jan 17-21, 2026)",2026-01-19 23:00:00+00:00,deviation_km,27.09,1.0
