mmsi,ship_name,is_known_artifact,total_windows_observed,appears_in_windows,flagged_event_count,flagged_event_types,flags_qatar_control_sep2025,flags_qatar_spoofing_oct2025,flags_hormuz_control_jan2026,flags_hormuz_crisis_mar2026,flag_rate,most_recent_flag_window,gfw_identity_available,flag_state,flag_source,resolved_vessel_type,vessel_type_source,vessel_type_caveat,gfw_shiptype,gfw_geartype,foc_match,foc_list,gfw_built_year,vessel_age_years,age_over_15yr,gfw_owner,gfw_owner_flag,gfw_imo,gfw_iuu_status,behavioral_score,behavioral_multiplier,behavioral_score_adjusted,foc_score,age_score,reliability_score_no_caveat,reliability_score
511101414,SELENIA,False,1,hormuz_control_jan2026,4,trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,PLW,gfw_identity,OTHER,gfw_identity,False,OTHER,OTHER,True,shadow_fleet,,,,,,,,60.0,1.0,60.0,20.0,0.0,80.0,80.0
636018010,PATRIS,False,1,hormuz_control_jan2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,LBR,gfw_identity,TANKER,gfw_identity,False,OTHER,TANKER,True,ITF_FOC,,,,ARTEMIS GAS 1 SHIPPING,MHL,9766889,,60.0,1.0,60.0,20.0,0.0,80.0,80.0
636025162,OCEAN CENTURY,False,1,hormuz_crisis_mar2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,0,4,4.0,hormuz_crisis_mar2026,True,LBR,gfw_identity,NA,gfw_identity,False,NA,NA,True,ITF_FOC,,,,,,,,60.0,1.0,60.0,20.0,0.0,80.0,80.0
212851000,DUBAI VENTURE,False,1,hormuz_crisis_mar2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,0,3,3.0,hormuz_crisis_mar2026,True,CYP,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,PACIFIC RUNNER SHIPPING,CYP,9202259,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
229478000,KIRAN ANATOLIA,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,MLT,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,BORDER SHIPPING,MLT,9650171,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
351551000,GEM NO.5,False,1,hormuz_control_jan2026,3,trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,DEU,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,ORIENT EXPRESS LINES,ARE,9128192,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
352003690,HAKKAISAN,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,PAN,gfw_identity,OTHER,gfw_identity,False,OTHER,OTHER,True,ITF_FOC,,,,,,,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
355400000,SAN FRANCISCO BRIDGE,False,1,hormuz_control_jan2026,3,trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,PAN,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,PRIMAVERA MONTANA,PAN,9560364,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
374228000,KHALEJIA ANA 3,False,1,hormuz_crisis_mar2026,3,genuine_cluster_member,0,0,0,3,3.0,hormuz_crisis_mar2026,True,PAN,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,MARE WORLDWIDE,PAN,9164627,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
538010037,CF ATHENA,False,1,hormuz_control_jan2026,3,trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,MHL,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,9239886,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
538011816,KIRA OCEAN,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,MHL,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,9441398,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
620999314,SAMIA -1,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,COM,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,9910715,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
620999392,ELIA,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,COM,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
620999680,SEA MIKAEEL,False,1,hormuz_control_jan2026,3,genuine_cluster_member;trajectory_deviation_high,0,0,3,0,3.0,hormuz_control_jan2026,True,COM,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,1040485,,45.0,1.0,45.0,20.0,0.0,65.0,65.0
9126842,BU HAROO)N,False,1,hormuz_control_jan2026,6,genuine_cluster_member;trajectory_deviation_high,0,0,6,0,6.0,hormuz_control_jan2026,True,,unknown,GEAR,gfw_identity,False,GEAR,GEAR,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
9123002,HMR FISHING BOAT,False,1,hormuz_control_jan2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,,unknown,GEAR,gfw_identity,False,GEAR,GEAR,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
219216000,MAERSK BOSTON,False,1,hormuz_control_jan2026,4,trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,DNK,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,False,,,,,MAERSK LINE,DNK,9313905,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
234611922,ARMIN-1-99%,False,1,hormuz_control_jan2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,GBR,gfw_identity,GEAR,gfw_identity,False,GEAR,GEAR,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
422030131,NET-ZOLJENAKH-80%,False,1,hormuz_control_jan2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,IRN,gfw_identity,GEAR,gfw_identity,False,GEAR,GEAR,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
422604900,ASLAN,False,1,hormuz_control_jan2026,4,genuine_cluster_member,0,0,4,0,4.0,hormuz_control_jan2026,True,IRN,gfw_identity,FISHING,gfw_identity,False,FISHING,FISHING,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
422811293,ASHKAN_FISHNET-68%,False,1,hormuz_control_jan2026,4,genuine_cluster_member;sar_ais_likely_spoofed,0,0,4,0,4.0,hormuz_control_jan2026,True,IRN,gfw_identity,GEAR,gfw_identity,False,GEAR,GEAR,False,,,,,,,,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
566446000,GFS GENESIS,False,1,hormuz_control_jan2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,4.0,hormuz_control_jan2026,True,SGP,gfw_identity,CARGO,gfw_identity,False,CARGO,NON_FISHING,False,,,,,OFFSHORE SUPPORT VESSELS 20,NLD,9606106,,60.0,1.0,60.0,0.0,0.0,60.0,60.0
620999638,POLARIS,False,2,hormuz_control_jan2026;hormuz_crisis_mar2026,4,genuine_cluster_member;trajectory_deviation_high,0,0,4,0,2.0,hormuz_control_jan2026,True,COM,gfw_identity,OTHER,gfw_identity,False,OTHER,OTHER,True,ITF_FOC,,,,,,9885271,,30.0,1.0,30.0,20.0,0.0,50.0,50.0
215143000,KEREM,False,1,hormuz_control_jan2026,2,genuine_cluster_member;trajectory_deviation_high,0,0,2,0,2.0,hormuz_control_jan2026,True,MLT,gfw_identity,CARGO,gfw_identity,False,CARGO,CARGO,True,ITF_FOC,,,,,,,,30.0,1.0,30.0,20.0,0.0,50.0,50.0
